Fecha,flota,Modelo,Marca,Componente,Aceite Lubricante,cambioLubricanate,Contenido de agua %,Punto de inflamacion °C,Glicol %,Nitracion A/cm,Oxidación A/cm,Hollín %,Sulfatacion A/cm,Diesel %,N de part >4µm,N° de part >6µm,N° de part>14µm,Código ISO 4406,Viscosidad 100°C cSt(mm2/s),Viscosidad 40°C cSt(mm2/s),TAN mg KOH/g,TBN mg KOH/g,Plata (Ag) ppm,Aluminio (Al) ppm,Bario (Ba) ppm,Boro (B) ppm,Calcio (Ca) ppm,Cromo (Cr) ppm,Cobre (Cu) ppm,Hierro (Fe) ppm,Potasio (K) ppm,Magnesio (Mg) ppm,Molibdeno (Mo) ppm,Sodio (Na) ppm,Níquel (Ni) ppm,Plomo (Pb) ppm,Fósforo (P) ppm,Silicio (Si) ppm,Estaño (Sn) ppm,Titanio (Ti) ppm,Vanadio (V) ppm,Zinc (Zn) ppm,Residuo Ferroso Total mg/kg,Numero Muestra,Numero Registro,Numero Serie Equipo,Criticidad,Disponibilidad,Tiempo Parada,TRR,TMP,TBF,Confiabilidad
2025-04-21 03:10:00,911,CATERPILLAR 797F,CATERPILLAR,MASA DERECHA,MOBIL MOBILTRANS HD 30,Muestreo,0.25,218,0.46,1,0,0.84,4,0.54,5746,3498,204,20/16/13,15.6,93.35,1.58,2,4,26,2,3,83,2,5,16,1,9,9,17,1,2,6,11,0,2,2,45,459,C02179,2179,LAJ640,Normal,0.875,3,3,1.3666666666666667,21,85.7
2025-04-21 03:15:00,540,KOMATSU 930 E3,KOMATSU,MANDO FINAL,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.12,195,0.0,0,0,0.69,0,0.31,2724,4423,599,19/16/14,19.07,93.43,1.28,4,1,9,5,9,329,8,26,240,0,6,6,21,7,2,8,27,1,1,4,23,212,D02180,2180,LAJ179,Critico,0.0,20,4,2.533333333333333,0,0.0
2025-04-21 03:20:00,555,KOMATSU 930 E4,KOMATSU,MANDO FINAL,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.78,180,0.2,1,4,0.2,4,0.61,8308,3060,843,21/18/14,16.76,90.0,0.84,3,0,15,2,1,462,9,42,52,2,3,7,26,2,2,6,4,6,3,1,7,342,E02181,2181,LAJ045,Normal,0.9583,1,2,0.6666666666666666,23,91.3
2025-04-21 03:25:00,539,KOMATSU 930 E3,KOMATSU,DIFERENCIAL DEL,MOBIL MOBILTRANS HD 30,Muestreo,0.24,185,0.07,1,1,0.42,2,0.18,6820,3919,767,20/17/16,12.58,94.09,1.24,5,4,0,0,7,228,0,7,3,1,9,8,19,0,8,5,5,1,1,1,91,443,B02182,2182,LAJ845,Normal,0.875,3,2,2.3666666666666667,21,90.5
2025-04-21 03:30:00,563,KOMATSU 930 E4,KOMATSU,DIFERENCIAL DEL,MOBIL MOBILTRANS HD 30,Muestreo,0.73,227,0.47,2,1,1.87,0,0.53,1678,2591,779,20/18/13,16.03,86.09,1.14,0,2,7,3,8,977,0,10,18,8,9,3,14,1,3,9,4,0,0,3,25,467,E02183,2183,LAJ607,Normal,0.75,6,3,2.8,18,83.3
2025-04-21 03:35:00,514,KOMATSU 930 E3,KOMATSU,MANDO FINAL,MOBIL MOBILTRANS HD 30,Muestreo,0.31,211,0.14,0,1,0.17,1,0.62,6971,3931,335,21/17/14,16.3,85.64,1.63,5,0,15,2,2,570,4,8,108,9,0,8,29,6,7,6,23,0,1,5,84,467,C02184,2184,LAJ007,Atencion,0.5833,10,1,1.1333333333333333,14,92.9
2025-04-21 03:40:00,530,KOMATSU 930 E3,KOMATSU,MANDO FINAL TRA.DER,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.01,239,0.35,0,2,1.63,3,0.07,3364,3465,236,21/16/16,17.14,107.27,2.46,1,0,17,2,3,707,1,33,30,4,8,6,23,8,5,7,9,2,2,3,53,497,C02185,2185,LAJ596,Normal,0.8333,4,4,2.566666666666667,20,80.0
2025-04-21 03:45:00,906,CATERPILLAR 798AC-A,CATERPILLAR,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,Muestreo,0.52,181,0.0,0,0,1.87,3,0.88,9473,775,492,20/16/15,11.7,98.56,1.02,7,3,13,9,0,435,9,5,86,3,7,7,4,8,6,8,12,5,7,1,56,223,B02186,2186,LAJ903,Normal,0.75,6,3,2.2666666666666666,18,83.3
2025-04-21 03:50:00,900,CATERPILLAR 798AC-P,CATERPILLAR,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,Muestreo,0.38,240,0.1,3,0,1.98,1,0.07,2775,2785,369,19/16/15,13.9,116.83,0.28,4,4,9,8,5,754,5,5,52,9,9,4,5,0,2,3,6,4,6,8,71,203,D02187,2187,LAJ065,Normal,0.7917,5,4,1.2333333333333334,19,78.9
2025-04-21 03:55:00,924,CATERPILLAR 798AC-A,CATERPILLAR,MOTOR,MOBIL DELVAC 15W40,Muestreo,0.15,241,0.35,1,2,0.54,4,0.79,2176,4180,611,20/19/14,12.53,80.08,0.44,9,1,3,8,6,39,5,31,59,3,8,8,5,2,7,8,0,2,1,8,93,463,A02188,2188,LAJ019,Normal,0.7917,5,5,2.7333333333333334,19,73.7
2025-04-21 04:00:00,904,CATERPILLAR 798AC-P,CATERPILLAR,MOTOR TRACCION DER,MOBIL SHC GEAR 680,Cambio Aceite,0.96,216,0.38,4,4,1.15,2,0.24,8961,1647,671,18/19/15,15.84,107.84,2.98,2,2,22,3,4,382,3,37,190,1,3,5,6,5,2,2,17,7,9,1,9,26,E02189,2189,LAJ738,Atencion,0.5833,10,2,0.6666666666666666,14,85.7
2025-04-21 04:05:00,564,KOMATSU 930 E3,KOMATSU,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,Muestreo,0.84,201,0.36,2,2,0.36,2,0.69,1943,2496,710,19/18/14,13.3,83.07,1.19,0,2,24,1,6,62,4,16,49,8,3,8,3,4,6,6,13,2,8,1,13,523,D02190,2190,LAJ107,Normal,0.8333,4,2,2.533333333333333,20,90.0
2025-04-21 04:10:00,534,KOMATSU 930 E4,KOMATSU,DIFERENCIAL DEL,MOBIL MOBILTRANS HD 30,Muestreo,0.22,224,0.47,1,3,1.52,2,0.12,7669,4504,142,20/18/13,17.2,100.97,2.9,9,1,0,9,6,183,2,24,78,6,3,2,22,5,5,8,12,1,3,7,39,200,A02191,2191,LAJ048,Normal,0.75,6,3,2.1666666666666665,18,83.3
2025-04-21 04:15:00,926,CATERPILLAR 798AC-P,CATERPILLAR,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,Muestreo,0.7,184,0.35,4,4,0.46,3,0.43,4757,725,908,20/19/16,11.42,83.14,1.79,7,1,19,0,0,385,3,40,48,1,7,9,14,1,7,1,8,3,1,9,27,564,E02192,2192,LAJ856,Normal,0.9167,2,6,2.8666666666666667,22,72.7
2025-04-21 04:20:00,515,KOMATSU 930 E4,KOMATSU,MANDO FINAL TRA.IZQ,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.48,224,0.31,2,1,0.98,2,0.25,2322,4062,773,18/16/14,17.31,95.25,1.72,1,2,12,6,0,744,5,4,85,8,8,3,16,1,9,6,9,5,5,6,55,472,D02193,2193,LAJ455,Normal,0.75,6,2,1.0,18,88.9
2025-04-21 04:25:00,915,CATERPILLAR 797F,CATERPILLAR,MOTOR TRACCION DER,MOBIL SHC GEAR 680,Muestreo,0.33,224,0.45,4,4,1.4,4,0.03,8174,1215,232,19/16/15,13.77,119.21,1.88,5,2,27,9,7,677,0,3,10,1,7,1,3,4,0,2,0,0,5,5,61,61,E02194,2194,LAJ445,Normal,0.9583,1,1,2.833333333333333,23,95.7
2025-04-21 04:30:00,500,KOMATSU 930 E5,KOMATSU,MOTOR,MOBIL DELVAC 15W40,Cambio Aceite,0.68,206,0.3,1,2,1.02,2,0.4,4364,2767,544,21/16/15,13.97,87.17,2.89,7,4,18,4,2,226,8,43,72,1,7,6,27,7,9,8,13,6,3,9,52,398,A02195,2195,LAJ255,Normal,0.7917,5,2,0.2,19,89.5
2025-04-21 04:35:00,520,KOMATSU 930 E4,KOMATSU,TRANSMISIÓN,MOBIL MOBILTRANS HD 30,Muestreo,0.82,206,0.41,0,2,1.67,1,0.59,5614,1669,885,20/16/13,10.65,91.75,2.82,8,0,23,9,6,297,8,37,12,9,4,9,3,4,1,1,10,4,7,1,30,261,C02196,2196,LAJ518,Normal,0.75,6,6,2.5,18,66.7
2025-04-21 04:40:00,531,KOMATSU 930 E3,KOMATSU,MANDO FINAL TRA.DER,MOBIL MOBILTRANS HD 30,Muestreo,0.92,224,0.31,4,0,1.21,4,0.65,3050,4138,927,20/17/15,18.34,102.46,1.6,1,3,17,9,6,542,9,23,88,8,8,7,11,6,9,0,8,4,0,0,11,539,C02197,2197,LAJ059,Normal,0.7917,5,4,0.3333333333333333,19,78.9
2025-04-21 04:45:00,909,CATERPILLAR 798AC-A,CATERPILLAR,MANDO FINAL,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.16,185,0.2,1,4,0.55,2,0.86,7913,962,803,18/16/13,17.74,90.07,2.26,2,4,9,9,3,959,2,11,5,3,9,5,2,2,0,9,13,8,0,9,31,522,D02198,2198,LAJ509,Normal,0.8333,4,1,0.0,20,95.0
2025-04-21 04:50:00,510,KOMATSU 930 E3,KOMATSU,MASA DERECHA,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.06,220,0.49,1,0,0.06,1,0.1,8594,3986,177,21/19/14,14.55,80.98,2.68,0,1,5,8,6,293,5,2,123,7,4,3,12,0,0,6,23,1,9,0,3,529,C02199,2199,LAJ029,Atencion,0.5,12,4,0.9333333333333332,12,66.7
2025-04-21 04:55:00,905,CATERPILLAR 798AC-P,CATERPILLAR,DIFERENCIAL DEL,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.87,190,0.44,4,0,0.5,4,0.94,6043,1124,957,18/17/13,18.87,94.05,0.16,2,1,10,4,4,656,9,42,24,6,4,4,16,1,8,3,13,2,1,5,98,494,D02200,2200,LAJ479,Normal,0.875,3,3,0.2,21,85.7
2025-04-21 05:00:00,507,KOMATSU 930 E4SE,KOMATSU,SISTEMA HIDRAULICO,MOBIL DTE 24,Cambio Aceite,0.61,219,0.35,0,2,1.89,1,0.83,8839,3028,490,19/16/15,18.98,100.74,0.78,2,0,0,9,7,255,0,29,96,2,9,9,21,8,2,9,6,7,1,3,73,280,A02201,2201,LAJ513,Normal,0.9167,2,6,2.966666666666667,22,72.7
2025-04-21 05:05:00,525,KOMATSU 930 E4,KOMATSU,MOTOR,MOBIL DELVAC 15W40,Cambio Aceite,0.91,230,0.29,2,0,1.6,2,0.93,8852,3499,425,20/18/13,11.98,117.12,1.25,0,4,16,0,4,929,3,15,33,8,0,9,5,6,1,1,2,1,4,5,40,485,E02202,2202,LAJ260,Normal,0.8333,4,3,0.4666666666666667,20,85.0
2025-04-21 05:10:00,938,CATERPILLAR 798AC-A,CATERPILLAR,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,Muestreo,0.82,182,0.37,3,4,0.8,2,0.99,1401,4573,218,20/18/15,16.28,88.9,2.99,0,3,13,1,9,127,4,4,54,0,9,8,25,3,1,0,9,2,2,2,9,175,E02203,2203,LAJ528,Normal,0.9167,2,4,1.0666666666666669,22,81.8
2025-04-21 05:15:00,934,CATERPILLAR 797F,CATERPILLAR,MASA DERECHA,MOBIL MOBILTRANS HD 30,Muestreo,0.06,218,0.21,2,1,0.05,3,0.46,8823,2449,336,18/17/16,10.23,94.81,1.21,4,0,4,1,6,748,1,0,47,9,2,5,5,3,9,4,4,5,2,0,16,435,C02204,2204,LAJ093,Normal,0.75,6,4,0.3666666666666666,18,77.8
2025-04-21 05:20:00,536,KOMATSU 930 E5,KOMATSU,SISTEMA HIDRAULICO,MOBIL DTE 24,Cambio Aceite,0.24,196,0.44,3,3,0.78,4,0.97,7972,3991,715,21/16/13,12.57,85.42,2.62,0,4,27,3,5,944,3,19,70,9,3,7,14,1,7,9,0,4,0,8,21,439,B02205,2205,LAJ979,Normal,0.7917,5,0,1.7,19,100.0
2025-04-21 05:25:00,508,KOMATSU 930 E3,KOMATSU,SISTEMA HIDRAULICO,MOBIL DTE 24,Cambio Aceite,0.51,190,0.36,3,1,0.05,2,0.27,3703,2853,972,18/19/15,18.29,80.5,2.2,8,3,28,0,5,685,5,23,62,7,9,1,9,8,5,9,12,1,8,4,32,544,E02206,2206,LAJ786,Normal,0.875,3,2,2.2,21,90.5
2025-04-21 05:30:00,509,KOMATSU 930 E4,KOMATSU,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,Cambio Aceite,0.36,246,0.27,1,0,0.18,0,0.42,2458,2425,627,18/17/15,14.21,95.15,1.73,1,4,27,4,0,932,9,24,38,0,5,9,19,6,8,9,4,7,5,0,79,201,C02207,2207,LAJ707,Normal,0.875,3,4,0.8,21,81.0
2025-04-21 05:35:00,506,KOMATSU 930 E3,KOMATSU,MOTOR,MOBIL DELVAC 15W40,Muestreo,0.21,236,0.25,4,3,0.01,1,0.59,1733,2095,881,19/18/16,10.84,95.09,1.43,6,1,5,7,5,924,5,18,256,1,6,8,24,4,7,4,39,4,2,3,95,358,E02208,2208,LAJ809,Critico,0.0,13,0,2.6666666666666665,0,0.0
2025-04-21 05:40:00,559,KOMATSU 930 E5,KOMATSU,MASA DERECHA,MOBIL MOBILTRANS HD 30,Muestreo,0.55,245,0.24,1,1,1.94,2,0.26,1383,4053,428,18/17/13,18.87,101.35,1.59,6,4,29,6,2,858,2,10,189,2,6,2,23,8,5,8,18,7,6,4,59,317,C02209,2209,LAJ127,Atencion,0.625,9,3,0.0,15,80.0
2025-04-21 05:45:00,547,KOMATSU 930 E4,KOMATSU,TRANSMISIÓN,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.84,224,0.42,4,1,1.23,2,0.01,7844,1408,362,18/18/13,13.72,83.93,2.46,0,2,27,6,6,430,6,3,75,0,2,1,14,5,9,6,7,3,4,1,68,381,E02210,2210,LAJ744,Normal,0.75,6,2,0.2666666666666666,18,88.9
2025-04-21 05:50:00,927,CATERPILLAR 798AC-P,CATERPILLAR,MOTOR TRACCION DER,MOBIL SHC GEAR 680,Cambio Aceite,0.81,184,0.33,1,0,0.82,1,0.91,7644,3061,134,19/17/13,11.09,94.5,2.08,9,0,23,5,3,506,9,9,89,3,4,1,9,4,3,5,8,7,4,3,74,195,D02211,2211,LAJ211,Normal,0.9583,1,3,2.3666666666666667,23,87.0
2025-04-21 05:55:00,505,KOMATSU 930 E3,KOMATSU,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,Muestreo,0.87,205,0.21,1,2,1.01,4,0.29,1439,3322,869,19/17/14,10.63,86.88,1.98,1,4,12,4,3,196,9,27,230,6,1,6,28,3,5,0,43,1,8,3,85,413,A02212,2212,LAJ592,Critico,0.0,18,4,0.3666666666666666,0,0.0
2025-04-21 06:00:00,553,KOMATSU 930 E4,KOMATSU,MASA DERECHA,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.16,224,0.13,3,0,1.34,4,0.07,4181,2595,807,21/16/13,12.71,84.06,1.54,0,0,25,4,0,902,6,38,37,2,8,3,22,2,1,6,0,4,8,5,29,321,B02213,2213,LAJ243,Normal,0.8333,4,4,2.333333333333333,20,80.0
2025-04-21 06:05:00,902,CATERPILLAR 798AC-P,CATERPILLAR,MANDO FINAL TRA.IZQ,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.34,193,0.1,1,3,1.58,0,0.21,6879,966,581,20/18/14,13.62,97.84,2.95,4,3,5,9,9,21,9,32,24,6,5,7,0,3,8,9,2,2,9,0,91,81,D02214,2214,LAJ186,Normal,0.75,6,3,1.1333333333333333,18,83.3
2025-04-21 06:10:00,556,KOMATSU 930 E4,KOMATSU,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,Muestreo,0.8,187,0.13,1,4,1.41,3,0.03,6707,3753,199,21/17/15,14.23,93.14,0.46,6,3,11,8,6,969,8,30,2,1,7,5,29,1,1,9,4,2,1,4,38,573,C02215,2215,LAJ459,Normal,0.8333,4,2,1.4,20,90.0
2025-04-21 06:15:00,936,CATERPILLAR 797F,CATERPILLAR,MANDO FINAL,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.18,227,0.49,2,4,0.67,3,0.75,1502,3302,227,19/16/13,19.09,109.47,0.66,4,0,18,2,7,220,6,31,66,7,2,9,8,4,1,3,6,3,4,0,73,321,A02216,2216,LAJ286,Normal,0.7917,5,1,0.1,19,94.7
2025-04-21 06:20:00,524,KOMATSU 930 E5,KOMATSU,TRANSMISIÓN,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.73,220,0.06,2,4,0.28,1,0.39,5387,3937,802,19/16/13,10.32,84.09,1.07,0,0,6,9,7,113,7,41,220,1,7,8,25,4,1,2,45,4,9,0,19,99,C02217,2217,LAJ899,Critico,0.0,12,3,0.8666666666666667,0,0.0
2025-04-21 06:25:00,543,KOMATSU 930 E4,KOMATSU,MOTOR TRACCION DER,MOBIL SHC GEAR 680,Muestreo,0.66,210,0.05,1,3,0.71,2,0.97,8584,1576,494,19/19/14,16.22,110.84,1.43,6,2,7,3,6,757,3,43,26,3,5,0,12,4,5,6,8,1,7,0,52,515,E02218,2218,LAJ695,Normal,0.75,6,1,2.6333333333333333,18,94.4
2025-04-21 06:30:00,550,KOMATSU 930 E3,KOMATSU,MANDO FINAL TRA.DER,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.29,234,0.18,3,0,1.41,3,0.73,2859,4401,406,19/17/14,10.2,95.48,2.02,0,0,12,0,1,763,8,44,51,5,3,8,2,8,0,7,14,3,5,2,66,368,D02219,2219,LAJ969,Normal,0.75,6,1,2.4,18,94.4
2025-04-21 06:35:00,544,KOMATSU 930 E3,KOMATSU,MANDO FINAL TRA.IZQ,MOBIL MOBILTRANS HD 30,Muestreo,0.98,207,0.01,1,3,0.62,2,0.57,4566,2027,612,19/18/16,16.84,117.22,1.65,7,3,15,7,1,576,6,36,80,1,7,2,11,2,0,2,3,6,2,4,44,542,B02220,2220,LAJ005,Normal,0.9583,1,5,2.933333333333333,23,78.3
2025-04-21 06:40:00,910,CATERPILLAR 797F,CATERPILLAR,SISTEMA HIDRAULICO,MOBIL DTE 24,Muestreo,0.88,239,0.44,1,3,1.86,4,0.06,1407,3819,850,18/17/16,19.05,118.22,2.89,5,0,2,0,7,493,0,28,153,8,2,4,14,7,3,9,23,0,4,7,79,399,B02221,2221,LAJ916,Atencion,0.5417,11,1,2.833333333333333,13,92.3
2025-04-21 06:45:00,921,CATERPILLAR 797F,CATERPILLAR,MOTOR TRACCION DER,MOBIL SHC GEAR 680,Muestreo,0.63,224,0.38,0,1,0.59,4,0.07,3355,4947,292,19/17/15,11.33,112.23,2.29,5,2,4,3,9,240,5,22,64,1,5,8,16,3,5,6,8,8,2,2,30,41,B02222,2222,LAJ920,Normal,0.875,3,3,1.2333333333333334,21,85.7
2025-04-21 06:50:00,552,KOMATSU 930 E4,KOMATSU,MOTOR,MOBIL DELVAC 15W40,Cambio Aceite,0.1,236,0.04,2,0,1.89,2,0.58,9601,1559,290,21/16/14,17.13,92.87,2.13,9,3,4,4,1,347,5,7,80,5,4,2,11,6,4,9,8,4,5,1,23,499,E02223,2223,LAJ744,Normal,0.9167,2,6,2.1666666666666665,22,72.7
2025-04-21 06:55:00,912,CATERPILLAR 798AC-P,CATERPILLAR,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,Muestreo,0.31,211,0.4,3,2,1.9,2,0.29,6933,3753,452,20/18/15,12.64,112.26,0.59,0,4,20,5,4,913,8,5,19,3,5,7,20,8,5,2,12,6,1,0,3,47,D02224,2224,LAJ289,Normal,0.8333,4,3,2.966666666666667,20,85.0
2025-04-21 07:00:00,523,KOMATSU 930 E3,KOMATSU,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,Muestreo,0.27,206,0.18,4,4,0.35,0,0.27,8232,1781,847,18/18/16,11.47,100.34,0.36,5,1,19,5,2,618,9,46,49,0,9,4,23,5,6,6,0,7,1,8,68,13,C02225,2225,LAJ463,Normal,0.8333,4,1,0.7,20,95.0
2025-04-21 07:05:00,928,CATERPILLAR 798AC-A,CATERPILLAR,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.2,200,0.09,1,4,1.92,0,0.1,4880,4862,318,21/17/13,16.01,102.21,2.15,2,2,5,6,9,521,6,48,127,0,9,7,25,8,0,8,18,2,0,3,64,24,B02226,2226,LAJ750,Atencion,0.5,12,3,2.2333333333333334,12,75.0
2025-04-21 07:10:00,549,KOMATSU 930 E4,KOMATSU,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.06,239,0.41,1,4,1.52,3,0.51,3783,3106,241,18/16/14,12.99,106.1,0.16,0,0,22,6,0,941,2,11,171,5,6,4,26,2,1,2,21,3,8,1,87,336,B02227,2227,LAJ117,Atencion,0.6667,8,6,2.566666666666667,16,62.5
2025-04-21 07:15:00,931,CATERPILLAR 798AC-P,CATERPILLAR,MANDO FINAL,MOBIL MOBILTRANS HD 30,Muestreo,0.56,181,0.09,4,3,1.52,1,0.94,7351,1023,721,19/16/14,10.32,104.95,1.65,8,4,6,0,2,712,7,32,213,1,8,3,24,3,7,4,44,8,4,2,56,193,E02228,2228,LAJ803,Critico,0.0,22,5,2.3666666666666667,0,0.0
2025-04-21 07:20:00,935,CATERPILLAR 797F,CATERPILLAR,DIFERENCIAL DEL,MOBIL MOBILTRANS HD 30,Muestreo,0.34,221,0.12,3,2,1.38,1,0.8,4698,2650,620,19/16/16,11.0,111.21,1.82,7,0,24,6,5,947,8,9,0,1,0,0,5,1,2,3,11,9,0,2,5,335,C02229,2229,LAJ465,Normal,0.875,3,6,2.4,21,71.4
2025-04-21 07:25:00,551,KOMATSU 930 E3,KOMATSU,DIFERENCIAL DEL,MOBIL MOBILTRANS HD 30,Muestreo,0.12,194,0.04,1,3,1.24,4,0.77,6236,4400,382,19/18/15,15.01,99.57,1.52,1,0,11,3,0,751,3,12,19,1,9,8,24,3,0,7,10,6,0,7,13,88,D02230,2230,LAJ968,Normal,0.875,3,1,0.5666666666666667,21,95.2
2025-04-21 07:30:00,937,CATERPILLAR 797F,CATERPILLAR,TRANSMISIÓN,MOBIL MOBILTRANS HD 30,Muestreo,0.42,182,0.13,0,1,1.79,4,0.23,5209,1207,857,18/18/15,15.87,112.89,0.77,3,4,23,9,4,124,6,32,98,5,3,6,15,2,9,0,7,6,0,9,76,111,D02231,2231,LAJ426,Normal,0.9167,2,4,0.8666666666666667,22,81.8
2025-04-21 07:35:00,521,KOMATSU 930 E3,KOMATSU,DIFERENCIAL DEL,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.49,214,0.11,2,2,0.7,1,0.1,9083,545,154,18/18/16,19.67,88.91,2.89,5,0,6,6,5,460,5,41,17,1,4,0,6,7,0,9,15,0,6,6,69,316,B02232,2232,LAJ928,Normal,0.7917,5,1,1.3333333333333333,19,94.7
2025-04-21 07:40:00,568,KOMATSU 930 E4,KOMATSU,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,Cambio Aceite,0.15,215,0.39,3,3,0.09,4,0.98,1384,4919,719,20/16/13,14.91,82.5,2.43,6,0,11,7,6,630,1,4,3,3,2,3,25,8,8,8,2,8,9,3,68,396,C02233,2233,LAJ773,Normal,0.75,6,6,1.1666666666666667,18,66.7
2025-04-21 07:45:00,541,KOMATSU 930 E3,KOMATSU,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,Muestreo,0.32,229,0.09,3,3,0.25,1,0.1,3504,4887,322,18/19/14,15.33,113.31,1.28,7,3,7,3,4,329,1,14,66,0,0,9,29,5,3,8,8,4,8,5,11,507,E02234,2234,LAJ276,Normal,0.9167,2,3,2.4,22,86.4
2025-04-21 07:50:00,917,CATERPILLAR 797F,CATERPILLAR,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.89,221,0.23,1,2,1.94,4,0.08,7097,4289,338,21/18/13,12.8,80.04,0.59,1,0,27,7,3,87,7,12,76,3,6,9,29,8,6,1,10,5,4,6,26,443,B02235,2235,LAJ399,Normal,0.75,6,4,0.7,18,77.8
2025-04-21 07:55:00,903,CATERPILLAR 797F,CATERPILLAR,MANDO FINAL,MOBIL MOBILTRANS HD 30,Muestreo,0.47,213,0.45,1,3,1.91,4,0.67,7199,4793,696,21/19/13,14.7,101.71,2.33,0,3,12,7,1,18,2,8,64,8,8,9,11,4,5,0,6,4,5,8,93,398,C02236,2236,LAJ774,Normal,0.875,3,4,1.5,21,81.0
2025-04-21 08:00:00,546,KOMATSU 930 E4,KOMATSU,MANDO FINAL TRA.DER,MOBIL MOBILTRANS HD 30,Muestreo,0.36,245,0.22,0,4,0.35,2,0.07,7662,4944,421,18/19/15,10.15,89.94,2.08,6,4,28,1,6,312,8,35,134,2,7,6,28,4,0,4,19,5,6,8,33,567,C02237,2237,LAJ166,Atencion,0.625,9,2,1.7,15,86.7
2025-04-21 08:05:00,916,CATERPILLAR 798AC-P,CATERPILLAR,TRANSMISIÓN,MOBIL MOBILTRANS HD 30,Muestreo,0.77,228,0.4,2,2,0.24,2,0.05,8281,2363,430,19/16/13,13.24,95.91,0.1,5,4,9,7,9,284,6,42,46,6,5,3,18,4,9,3,1,9,0,3,74,107,C02238,2238,LAJ656,Normal,0.9167,2,5,2.9,22,77.3
2025-04-21 08:10:00,929,CATERPILLAR 798AC-A,CATERPILLAR,MOTOR TRACCION DER,MOBIL SHC GEAR 680,Muestreo,0.22,194,0.25,0,3,1.72,0,0.79,9327,3603,975,19/19/15,14.36,114.82,2.44,3,1,23,6,8,599,0,22,34,4,0,9,16,5,4,7,8,8,2,9,81,547,C02239,2239,LAJ490,Normal,0.8333,4,6,2.0,20,70.0
2025-04-21 08:15:00,560,KOMATSU 930 E3,KOMATSU,MANDO FINAL TRA.DER,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.11,198,0.29,2,4,0.43,3,0.69,7041,3520,423,18/18/13,13.75,96.26,1.35,3,0,26,4,1,337,7,24,35,6,5,3,10,4,6,8,11,1,8,6,92,491,C02240,2240,LAJ310,Normal,0.75,6,2,1.6,18,88.9
2025-04-21 08:20:00,538,KOMATSU 930 E3,KOMATSU,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.18,231,0.5,1,3,0.28,4,0.05,2076,1199,297,19/19/16,16.78,90.82,0.58,9,2,22,4,5,116,8,10,24,8,0,7,24,9,0,6,12,0,1,2,53,47,E02241,2241,LAJ439,Normal,0.7917,5,2,2.033333333333333,19,89.5
2025-04-21 08:25:00,516,KOMATSU 930 E3,KOMATSU,SISTEMA HIDRAULICO,MOBIL DTE 24,Muestreo,0.08,208,0.39,2,3,0.76,3,0.11,8177,3061,494,18/17/13,15.15,91.8,2.87,0,2,27,4,2,250,4,2,95,1,7,8,28,0,3,4,8,2,2,3,27,416,D02242,2242,LAJ121,Normal,0.7917,5,4,0.6333333333333333,19,78.9
2025-04-21 08:30:00,557,KOMATSU 930 E3,KOMATSU,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,Muestreo,0.53,220,0.3,2,0,0.26,3,0.99,9391,1215,800,21/19/14,17.82,112.84,2.47,3,2,4,1,1,809,0,35,86,9,1,3,0,3,4,2,2,4,1,1,46,247,C02243,2243,LAJ658,Normal,0.9167,2,0,2.7,22,100.0
